"tree_ID","latitude","longitude","GUD","SRS","GUD_DOY","SRS_DOY","pheno_lag","dNDVI","NDVIseas","ratio","gup_rate","rain_sum","MAP","soil_texture","slope","elevation","curvature","admin","resid_trend"
"tree_687701",-3.48964,35.11256,116,147,297,327,-31,0.073713142299025,0.514849775703082,0.130792337274331,110,616.056177638011,656.842806275612,-0.851937291742382,6.53017234802246,1082,-10,"United Republic of Tanzania",21.7411167935115
"tree_687757",-6.16557,32.81878,78.5,130.25,259.5,310.25,-51.75,0.171209885585818,0.552338981631287,0.345888993084454,187.5,1196.66865770513,1103.80160985882,2.09974130212106,1.31526029109955,1125,-6,"United Republic of Tanzania",-8.54615432511193
"tree_688621",-5.80489,31.68104,81,139,262,319,-58,0.26733810884347,0.525803165287216,0.508437617901061,205,1303.50986623764,1131.493803127,2.27943558873273,3.83695197105408,1074,2,"United Republic of Tanzania",-6.64112172059728
"tree_688747",-6.86719,33.9567,91,144.666666666667,272,324.666666666667,-53.6666666666667,0.259290372129449,0.567257046194455,0.479184826226633,120,1173.99200415095,1000.39245386402,1.72461122555833,2.07602977752686,1379,10,"United Republic of Tanzania",7.40944341688161
"tree_68886",-28.43793,30.71993,41,94,222,274,-53,0.029987289211684,0.492734485334249,0.0608589211922968,150,912.524248853326,923.728093023609,-0.948753232709803,3.16108989715576,1504,0,"South Africa",-41.2577519511497
"tree_689136",-11.40898,35.80813,114.75,148.5,295.75,328.5,-33.75,0.0919898024620792,0.61334831422506,0.148382968341145,120,1185.92145977766,1143.82523438094,0.610166436619223,2.93637609481812,569,-4,"United Republic of Tanzania",17.4806773632541
"tree_690731",-6.59404,34.41167,91,158.5,272,338.5,-67.5,0.248905284536397,0.526297921770924,0.47463637527539,192.5,985.493857056469,1024.5429293061,1.57616220736566,22.4162979125977,1328,-18,"United Republic of Tanzania",6.76393716102709
"tree_691371",-6.7335,36.14826,89.75,142.75,270.75,322.75,-53,0.0703922944451085,0.620124354835289,0.115348954508581,158.75,907.239693538454,774.005670388775,0.666022078036581,26.1895122528076,1075,-6,"United Republic of Tanzania",-2.97291652441944
"tree_692699",-5.7124,31.82482,81,139,262,319,-58,0.408842908194169,0.496204652867483,0.823940093732565,190,1220.51965427399,1047.01100379933,3.03015346380358,2.08130073547363,1071,2,"United Republic of Tanzania",-7.90489917408901
"tree_692815",-10.51067,35.11202,88.5,143.5,269.5,323.5,-55,0.0853865655984855,0.661001721950519,0.136462392250453,110,1275.51313210883,1286.34558280999,-0.475513919870004,0.943233370780945,801,-10,"United Republic of Tanzania",-2.23152391577656
"tree_693092",-7.12564,35.00366,101,151,282,331,-50,0.095914134018616,0.667544264072989,0.136896704805129,120,857.917421853242,735.494483873573,1.01416932133951,3.82022929191589,1029,2,"United Republic of Tanzania",6.83449195525554
"tree_693192",-6.44701,34.27032,103.5,147,284.5,327,-43.5,0.235040976692548,0.541990960148532,0.451286926133673,103.75,1034.51690520201,1054.02483606935,1.83704631921911,3.81990909576416,1299,12,"United Republic of Tanzania",19.121620398093
"tree_694491",-6.11834,32.00701,86,140,267,320,-54,0.234086074057603,0.422329651634079,0.554273357676584,210,1227.15396344662,994.623612249102,3.1373523350696,2.0754063129425,1112,-4,"United Republic of Tanzania",-2.85646401548188
"tree_69505",-23.23419,30.18626,116,131.5,297,311.5,-15.5,0.037532680871163,0.627600482920964,0.0605570642043889,100,605.284395053787,768.811807142916,-0.277671783672493,2.78028845787048,607,-6,"South Africa",14.1171287850871
"tree_697023",-6.43196,34.91018,86,140,267,320,-54,0.084303298872569,0.644900014388364,0.130723053173636,90,1198.25923284807,652.041359854746,0.896604126771571,2.79787158966064,1130,4,"United Republic of Tanzania",-7.39551681116762
"tree_697251",-8.77092,32.2532,96,140.666666666667,277,320.666666666667,-44.6666666666667,0.211188783508803,0.488771779582295,0.434900935647427,130,1252.34760574786,997.771290739212,0.668872609002926,12.5471706390381,1562,-34,"United Republic of Tanzania",15.9248370582831
"tree_697905",-9.04118,32.59621,84.75,137.75,265.75,317.75,-53,0.10431322210651,0.621736801432503,0.166653342120641,158.75,968.825655812503,891.802766835887,0.616142344066158,6.4648609161377,1062,-4,"United Republic of Tanzania",-6.54438474038306
"tree_69807",-24.81501,30.09701,68.5,101,249.5,281,-32.5,0.0342988566310115,0.475686284787515,0.0751609978451487,160,729.987296804786,743.12523976962,0.453828743731035,2.11684513092041,781,-4,"South Africa",-30.3713391292893
"tree_699768",-7.16585,32.90992,51,127.5,232,307.5,-76.5,0.197632301062588,0.574981016424642,0.343035669364908,186.25,1192.32859404504,1054.84986248638,1.96268119953271,1.8689216375351,1185,-14,"United Republic of Tanzania",-35.5798243449837
