tree_id_num,lon_tr,lat_tr
tree_142976,30.06951886,-25.50941229
tree_100064,24.68812559,-28.47092871
tree_61355,24.68902706,-28.47759961
tree_251902,24.68442958,-28.47336269
tree_14494,24.71201445,-28.25836157
tree_163903,24.71985721,-28.47651784
tree_1977075,39.60096232,-9.842947682
tree_838505,39.61177992,-9.861968745
tree_944829,39.60393716,-9.845471804
tree_1354858,39.56165837,-9.879547453
tree_754632,39.58167093,-9.847274749
tree_242426,30.65087448,-27.69187645
tree_48856,26.97289195,-32.48446318
tree_13623,26.99029025,-32.50501674
tree_40837,26.98082485,-32.46481108
tree_169293,27.035634,-32.49861629
tree_111863,27.03392122,-32.50014879
tree_1000773,31.55888842,-2.095695715
tree_592221,31.48514845,-2.095064685
tree_904482,31.58331816,-2.059186092
tree_1915139,31.56934543,-2.121748261
tree_830979,31.58385904,-2.067750077
tree_1549228,31.501465,-2.114536484
tree_1000782,32.29304284,-6.965358317
tree_2011201,32.30620425,-6.95553227
tree_1050202,32.30467176,-6.952467265
tree_1363212,32.26113092,-6.959228306
tree_895775,32.27852923,-6.998352199
tree_847482,32.29051873,-6.950123437
tree_514456,32.30368014,-6.996278813
tree_1840391,32.25959843,-6.98374835
tree_1000790,30.99457031,-5.950120341
tree_571331,30.99547178,-5.950841519
tree_806222,31.00295395,-5.945973569
tree_180475,18.99121912,-34.22917245
tree_169713,19.00843713,-34.2403507
tree_100084,30.43912005,-30.17371952
tree_1000857,35.71906674,-7.592512517
tree_1000871,30.99682398,-2.494777452
tree_1419284,31.01395185,-2.488106558
tree_1445055,30.97374643,-2.519748231
tree_552746,30.97023071,-2.500186285
tree_484628,31.01377155,-2.511544835
tree_666753,30.96626426,-2.50487394
tree_344682,30.99997911,-2.473592856
tree_1000902,35.49838771,-8.995022944
tree_1000923,35.3826394,-7.633439354
tree_1000924,35.4649433,-10.16612546
tree_100096,32.20202756,-27.8021265
tree_1000995,33.06578003,-6.612522103
tree_1289333,33.0678534,-6.606662534
tree_1782281,33.06866472,-6.597106929
tree_495969,33.08173599,-6.614775784
tree_529908,33.04252219,-6.657866154
tree_763752,33.09192256,-6.623429917
tree_23317,21.07504863,-34.01949002
tree_1001126,32.44998818,-7.970950541
tree_1198867,32.45043891,-7.971581571
tree_100113,28.36691945,-30.97503815
tree_100118,30.38431089,-30.12143414
tree_1001185,31.86538707,-2.764768372
tree_1478560,31.85141434,-2.806596681
tree_878484,31.86430531,-2.754040853
tree_1001199,30.7814636,-3.744578491
tree_400678,30.78137346,-3.749085852
tree_941163,30.73422675,-3.759633076
tree_100123,27.12352697,-28.26755659
tree_6351,27.2457658,-28.35986734
tree_279320,27.08169893,-28.20481412
tree_126356,27.21511594,-28.26286893
tree_120083,27.24179935,-28.28675794
tree_134673,27.04527969,-28.2866678
tree_1001242,37.3083524,-9.239231759
tree_1355365,37.30781152,-9.239682495
tree_1271920,37.30754108,-9.238510581
tree_1001247,38.98336753,-9.709980535
tree_1899888,38.96551849,-9.702498316
tree_1314783,39.01005094,-9.724223795
tree_1001250,29.72539545,-4.56554921
tree_818059,29.7187246,-4.568704363
tree_1455212,29.75379165,-4.543102553
tree_1469820,29.72124871,-4.55518228
tree_1429381,29.71782313,-4.568343774
tree_995676,29.72151915,-4.552027128
tree_1835600,29.76307676,-4.5594192
tree_1947898,29.7160202,-4.560681261
tree_1001256,36.15294263,-2.683545728
tree_633182,36.14077283,-2.671646295
tree_1771788,36.16150656,-2.655419795
tree_1847809,36.11922778,-2.70193576
tree_855467,36.17196357,-2.644872571
tree_423275,36.10750871,-2.70193576
tree_1752087,36.22100336,-2.806776975
tree_98785,24.8109053,-32.87245681
tree_45800,24.80324284,-32.87083416
tree_31797,24.79963698,-32.87489078
tree_1779254,34.76585593,-9.56267998
tree_1001376,39.22423941,-7.508044573
tree_100147,29.6709806,-31.44551648
tree_1001526,37.45303779,-7.039910067
tree_1660766,37.4837778,-7.09589149
tree_2013748,37.44104829,-7.0550548
tree_873092,37.44041726,-7.065962613
tree_517852,37.44438371,-7.016922526
tree_1087120,37.43870447,-7.06379908
tree_1001536,35.05621833,-8.714214358
tree_678147,35.04945733,-8.7079942
tree_100155,24.54479245,-32.57100451
tree_29153,24.54957022,-32.57199613
tree_213348,24.56381339,-32.57623305
tree_163,24.59860999,-32.69324414
tree_1830,24.4820504,-32.51646544
tree_248993,24.42624963,-32.52493928
tree_247986,24.42588904,-32.52484913
tree_100158,24.107401,-31.07275773
tree_206698,23.91701131,-31.13964697
tree_158191,23.98200703,-30.84793057
tree_234670,24.43265004,-31.1986934
tree_54300,24.06268827,-30.8437838
tree_86043,23.98768627,-31.07023361
