tree_ID,latitude,longitude,elevation,slope,curvature,num,swb
tree_2505602,-11.231833443078472,31.15419175236081,1327,0.9274099469184875,6.0,2,0
tree_3595599,-14.276824238546112,29.595374746996143,1306,1.8543341159820557,6.0,2,0
tree_4170163,-20.190377037200758,32.85689503051806,1059,14.5051851272583,0.0,2,0
tree_4696618,-14.441971505161533,35.083729964699444,680,2.127265214920044,-4.0,2,0
tree_1096486,-8.427094553269441,35.156190356817945,1825,3.704791784286499,-2.0,2,0
tree_3422602,-10.67192641930254,31.428145543781373,1223,1.8543341159820557,-14.0,3,0
tree_242426,-27.691878148402218,30.650875180054154,1367,6.840524673461914,8.0,4,0
tree_4700922,-13.370935564033314,33.34552332395466,1043,3.824801206588745,-10.0,2,0
tree_4532691,-19.8639530036843,28.894591343638695,1307,4.0546040534973145,-4.0,2,0
tree_1478307,-1.0522408301879447,30.62695210290242,1261,3.3407156467437744,4.0,2,0
tree_2111504,-10.446108623753933,29.040974713021217,1182,2.0800559520721436,-10.0,2,0
tree_1122615,-11.550066107959745,35.151321018467584,1397,22.82535171508789,-28.0,2,0
tree_1626857,-2.4360024463964303,35.39453822632674,1856,2.6226940155029297,0.0,2,0
tree_2811969,-12.549243635611683,28.432842511352266,1308,2.0832650661468506,-6.0,2,0
tree_2732183,-17.158108057038596,26.38768473139142,1222,3.829138994216919,12.0,2,0
tree_539579,-3.7267293782258197,31.99177145783586,1132,3.342501163482666,-2.0,2,0
tree_69421,-32.736423497357116,25.31807124349925,884,24.639095306396484,-8.0,2,0
tree_696703,-6.432587702174688,32.31152467617636,1108,2.9322848320007324,4.0,2,0
tree_4187867,-19.544471790508062,29.717808284620606,1418,1.3521119356155396,0.0,2,0
tree_145611,-25.867838271479652,27.3843205714429,1449,13.306504249572754,14.0,3,0
tree_4581553,-16.140692806078064,31.28428602559509,375,0.9274099469184875,-8.0,3,0
tree_2512818,-14.12727044831459,25.651910762067583,1109,4.243889808654785,-10.0,3,0
tree_156215,-25.845841525983,26.716967048683134,1508,2.964547872543335,10.0,3,0
tree_5046891,-20.450538829063,22.40112353478131,939,4.741260528564453,10.0,2,0
tree_1385322,-1.2050408459863744,31.754417967861993,1220,9.060134887695312,4.0,2,0
tree_1564640,-2.33116006242781,31.03504457221274,1327,4.722338676452637,4.0,2,0
tree_3791107,-16.011164838677562,27.224064938683103,1016,2.090013027191162,-2.0,2,0
tree_5045991,-24.23753295802614,22.42564413147421,1075,4.462475994242503,16.0,2,0
tree_1661209,-9.082283648355407,33.99050553672929,2509,16.0700740814209,2.0,2,0
tree_42402,-31.582180730571594,29.29894708626622,195,9.131926536560059,-16.0,4,0
tree_4507079,-16.811930205855376,31.17737461873767,1291,23.85614013671875,20.0,2,0
tree_4289239,-17.798229849664963,31.83391036234178,1371,2.7802884578704834,-14.0,2,0
tree_790404,-7.742158795055941,32.891074040092725,1271,2.8058254718780518,6.0,2,0
tree_884615,-4.194234909972247,31.46720726900955,1083,2.9312124252319336,2.0,2,0
tree_52543,-31.85406549910335,26.7411264581907,1295,25.850780487060547,-8.0,1,0
tree_4525965,-19.975198656765667,31.328729885794793,1214,15.259702682495117,-4.0,3,0
tree_4394557,-19.125557082941036,30.442318564683447,1329,8.335589408874512,-10.0,3,0
tree_2900378,-8.843561214358123,30.039438784504608,1008,2.9621200561523438,-6.0,2,0
tree_4633797,-12.704656684627432,33.17730819581447,1114,2.114715814590454,-6.0,2,0
tree_2595539,-14.632544565983705,22.763519136495916,1041,1.9164481163024902,-4.0,2,0
tree_242285,-33.98027635891268,24.175823458547505,399,33.44874954223633,26.0,2,0
tree_4486640,-18.64318044918137,31.79100043290446,1363,12.38773250579834,-32.0,2,0
tree_237903,-33.424337935074306,26.74130482223284,306,1.4471688270568848,0.0,3,0
tree_4250696,-18.05632261863841,31.768374954159285,1510,2.945929527282715,-4.0,2,0
tree_4345456,-17.325859438669227,30.15601306334484,1308,13.198357582092285,-16.0,2,0
tree_63299,-32.45318139844223,27.52152265175637,986,25.06285858154297,-16.0,1,0
tree_222742,-34.62753271322456,19.983822558203034,14,0.9274099469184875,-2.0,3,0
tree_1570824,-8.225708172392665,35.42564045617452,1833,1.8543341159820557,-14.0,2,0
tree_524515,-8.635695759650693,37.76007795787662,415,2.6365621089935303,-4.0,3,0
tree_4144049,-17.002231261513284,30.18729365723476,1169,7.297513008117676,4.0,2,0
tree_3862218,-16.341374648988392,27.329179327815986,1103,3.9694807529449463,4.0,2,0
tree_114625,-25.668342549449534,31.79853185458374,191,5.912248611450195,-4.0,2,0
tree_2618302,-12.1873920442256,30.524423992380537,1190,2.991197347640991,4.0,2,0
tree_1268395,-7.858808878614085,36.294384818912114,1380,14.953707695007324,-14.0,3,0
tree_249483,-30.016773173849938,30.678097991985446,592,12.166730880737305,-2.0,4,0
tree_4170436,-19.333890743259083,27.937414088809163,1042,6.057150363922119,4.0,3,0
tree_945303,-7.47595046216522,35.022684871277775,991,5.40438175201416,4.0,2,0
tree_2414092,-12.117348484878073,26.38957984933914,1396,5.291702747344971,6.0,3,0
tree_2904377,-16.235814349750168,23.5935005337759,1045,1.3389453887939453,4.0,2,0
tree_2339023,-15.513011905390805,25.344058884438738,1146,1.3364535570144653,6.0,3,0
tree_4787251,-15.330104039279512,35.289263309555935,1864,7.640937328338623,16.0,3,0
tree_242084,-33.57254061768664,25.804590382137576,282,1.8543341159820557,26.0,2,0
tree_5048224,-22.167752022048166,28.83389851920024,576,1.8543341159820557,6.0,2,0
tree_4177155,-17.28141557846953,30.18097957014308,1309,8.054494857788086,-26.0,2,0
tree_699892,-7.177837261237096,35.58781350238729,704,2.9327447414398193,-6.0,2,0
tree_142933,-32.727228830984906,27.534324730880815,591,8.455123901367188,0.0,1,0
tree_2470435,-12.272672351872753,27.30583147470015,1319,1.326859474182129,2.0,2,0
tree_433658,-6.6074736454908365,33.14862279873765,1209,2.0758049488067627,-12.0,2,0
tree_171868,-31.1583966846542,29.444621458581246,755,25.044443130493164,10.0,4,0
tree_3819131,-16.57882623918544,27.039716782931546,1187,2.145197629928589,-4.0,3,0
tree_4820652,-11.001141850078449,33.401141691394294,1117,2.0808403491973877,2.0,2,0
tree_2525101,-14.729182204013982,30.87266194825044,831,2.8746016025543213,6.0,2,0
tree_4281894,-18.012783955952564,31.942177335919443,1437,6.895216941833496,-10.0,2,0
tree_4460219,-17.95535965258629,30.11499379275419,1145,2.158273458480835,2.0,3,0
tree_2479427,-16.69285883042521,25.651549574882253,1041,0.0,-8.0,2,0
tree_1784167,-10.899202340895624,35.49721794628444,932,6.220271110534668,-8.0,2,0
tree_899238,-6.877284932032738,32.63803343261283,1162,3.943058490753174,-4.0,2,0
tree_456784,-4.29799373238488,37.49234015332456,621,1.3132911920547485,14.0,3,0
tree_218036,-25.96925160673817,29.1108978766403,1557,3.603538990020752,6.0,3,0
tree_4072051,-17.096447607671543,26.189455394060484,1218,0.970278799533844,2.0,2,0
tree_7126,-33.85298686024102,25.173293150495976,382,12.667801856994629,4.0,4,0
tree_47474,-32.295333680251304,27.021751064787214,1205,14.366043090820312,22.0,1,0
tree_2693530,-14.161708085750353,29.589065119005515,1237,6.914363384246826,0.0,2,0
tree_2533341,-15.923543502977354,25.50533119223871,1143,3.381800413131714,6.0,2,0
tree_185269,-26.044886878806718,30.675663322810273,1149,8.832759857177734,-34.0,2,0
tree_188910,-34.06528466139557,19.807224320082362,544,20.881702423095703,2.0,3,0
tree_2033185,-15.461179314745552,26.163311684584134,1268,2.0888137817382812,6.0,4,0
tree_50797,-25.834484195599877,27.331226055199515,1542,18.271713256835938,38.0,3,0
tree_1038860,-3.017901756567957,35.84599545338181,3026,20.637107849121094,10.0,3,0
tree_190748,-27.865408524998116,31.430464276329147,541,10.416029930114746,24.0,2,0
tree_262242,-27.996662164506297,31.051034908590385,1008,7.539468765258789,-18.0,3,0
tree_1044100,-7.28132407848547,32.55672172490324,1181,1.3167810440063477,2.0,2,0
tree_4526882,-20.849623914245353,31.301685437905633,457,2.1028549671173096,-8.0,3,0
tree_2442222,-15.422505531309016,26.738446538457584,1009,3.028940200805664,-4.0,2,0
tree_3531393,-15.88757639388026,23.364708517824646,1055,0.9642361998558044,8.0,3,0
tree_3058817,-12.115275002888223,24.910090251715275,1317,3.9001517295837402,4.0,2,0
