"tree_ID","rainyear","GUD","GUD_DOY","latitude","longitude"
"tree_3744389",2021,101,282,-15.6709532647039,26.2110864932708
"tree_3744389",2022,126,307,-15.6709532647039,26.2110864932708
"tree_3744389",2023,156,337,-15.6709532647039,26.2110864932708
"tree_3744691",2019,96,277,-12.1781081958323,31.782871491684
"tree_3744691",2021,101,282,-12.1781081958323,31.782871491684
"tree_3744691",2022,96,277,-12.1781081958323,31.782871491684
"tree_3744691",2023,86,267,-12.1781081958323,31.782871491684
"tree_3745062",2019,66,247,-16.7914807684243,27.0296213781465
"tree_3745062",2021,81,262,-16.7914807684243,27.0296213781465
"tree_3745062",2023,136,317,-16.7914807684243,27.0296213781465
"tree_3745132",2019,76,257,-15.02152978728,25.2958292474447
"tree_3745132",2020,96,277,-15.02152978728,25.2958292474447
"tree_3745132",2023,91,272,-15.02152978728,25.2958292474447
"tree_3745260",2022,81,262,-13.9640138405458,29.1034422596789
"tree_3745260",2023,66,247,-13.9640138405458,29.1034422596789
"tree_3746319",2019,61,242,-15.7875097071399,25.4590858552134
"tree_3746319",2020,86,267,-15.7875097071399,25.4590858552134
"tree_3746319",2021,76,257,-15.7875097071399,25.4590858552134
"tree_3746319",2022,91,272,-15.7875097071399,25.4590858552134
"tree_3746319",2023,86,267,-15.7875097071399,25.4590858552134
"tree_3746634",2021,86,267,-13.2065953947086,30.2601152365386
"tree_3746634",2023,66,247,-13.2065953947086,30.2601152365386
"tree_3746674",2020,91,272,-13.5133681698825,24.1696253080832
"tree_374681",2019,76,257,-5.55031888594199,34.7424169927655
"tree_374681",2020,146,327,-5.55031888594199,34.7424169927655
"tree_374681",2021,116,297,-5.55031888594199,34.7424169927655
"tree_374681",2022,96,277,-5.55031888594199,34.7424169927655
"tree_3747261",2019,121,302,-12.8359103241356,32.2127823424488
"tree_3747261",2021,86,267,-12.8359103241356,32.2127823424488
"tree_3747261",2022,136,317,-12.8359103241356,32.2127823424488
"tree_3747261",2023,111,292,-12.8359103241356,32.2127823424488
"tree_3747265",2020,91,272,-14.4142983240238,25.2018982837538
"tree_3747402",2019,61,242,-12.9188451446286,27.9931082609667
"tree_3747402",2020,36,217,-12.9188451446286,27.9931082609667
"tree_3747402",2021,66,247,-12.9188451446286,27.9931082609667
"tree_3747402",2022,66,247,-12.9188451446286,27.9931082609667
"tree_3747402",2023,56,237,-12.9188451446286,27.9931082609667
"tree_3747725",2021,196,12,-14.9265152620332,28.4555616312196
"tree_3747725",2023,146,327,-14.9265152620332,28.4555616312196
"tree_3747843",2019,96,277,-11.2196600972026,32.9214271409635
"tree_3747843",2020,96,277,-11.2196600972026,32.9214271409635
"tree_3747843",2022,141,322,-11.2196600972026,32.9214271409635
"tree_3747843",2023,111,292,-11.2196600972026,32.9214271409635
"tree_3748196",2019,66,247,-16.6226369070355,25.716273426673
"tree_3748196",2020,101,282,-16.6226369070355,25.716273426673
"tree_3748196",2021,86,267,-16.6226369070355,25.716273426673
"tree_3748196",2023,81,262,-16.6226369070355,25.716273426673
"tree_3748564",2019,96,277,-16.7857106916611,25.8135397979518
"tree_3748564",2020,96,277,-16.7857106916611,25.8135397979518
"tree_3748564",2021,86,267,-16.7857106916611,25.8135397979518
"tree_3748564",2022,91,272,-16.7857106916611,25.8135397979518
"tree_3748564",2023,71,252,-16.7857106916611,25.8135397979518
"tree_3748675",2023,86,267,-15.7325200729488,28.1530294611475
"tree_3748685",2021,106,287,-14.9669905222953,28.2756279855109
"tree_3748685",2023,101,282,-14.9669905222953,28.2756279855109
"tree_3748883",2019,56,237,-11.602068144445,32.3282596824299
"tree_3748883",2020,126,307,-11.602068144445,32.3282596824299
"tree_3748883",2021,186,2,-11.602068144445,32.3282596824299
"tree_3748883",2022,141,322,-11.602068144445,32.3282596824299
"tree_3748883",2023,116,297,-11.602068144445,32.3282596824299
"tree_3749082",2021,96,277,-15.0038628289063,28.5447168976822
"tree_3749082",2023,91,272,-15.0038628289063,28.5447168976822
"tree_3749187",2020,86,267,-15.526714722928,26.1861199864725
"tree_3749187",2021,81,262,-15.526714722928,26.1861199864725
"tree_3749187",2022,61,242,-15.526714722928,26.1861199864725
"tree_3749187",2023,1,182,-15.526714722928,26.1861199864725
"tree_3749275",2021,36,217,-9.16980242473139,30.4750260709105
"tree_3749397",2019,101,282,-10.9501208158249,32.8437183869051
"tree_3749397",2021,111,292,-10.9501208158249,32.8437183869051
"tree_3749397",2023,111,292,-10.9501208158249,32.8437183869051
"tree_3749470",2019,101,282,-17.6035276612673,25.3708313271636
"tree_3749470",2020,101,282,-17.6035276612673,25.3708313271636
"tree_3749470",2021,96,277,-17.6035276612673,25.3708313271636
"tree_3749470",2023,91,272,-17.6035276612673,25.3708313271636
"tree_374952",2019,51,232,-7.37047934494807,32.7319688554047
"tree_374952",2020,76,257,-7.37047934494807,32.7319688554047
"tree_374952",2021,81,262,-7.37047934494807,32.7319688554047
"tree_374952",2023,81,262,-7.37047934494807,32.7319688554047
"tree_3749936",2020,96,277,-14.1565667422357,32.3210493160265
"tree_3749936",2021,86,267,-14.1565667422357,32.3210493160265
"tree_3749936",2022,141,322,-14.1565667422357,32.3210493160265
"tree_3749936",2023,86,267,-14.1565667422357,32.3210493160265
"tree_3749971",2020,101,282,-15.3953719013988,26.902425520597
"tree_3749971",2021,101,282,-15.3953719013988,26.902425520597
"tree_3749971",2022,111,292,-15.3953719013988,26.902425520597
