"tree_id_num","lon_tr","lat_tr"
"tree_47474",27.02175142,-32.29533431
"tree_2693530",29.5890644,-14.16170664
"tree_2533341",25.50533045,-15.92354388
"tree_185269",30.6756648,-26.04488676
"tree_188910",19.80722642,-34.0652848
"tree_2033185",26.16331094,-15.46117879
"tree_50797",27.33122481,-25.83448316
"tree_1038860",35.84599324,-3.017901761
"tree_190748",31.43046254,-27.86540984
"tree_262242",31.05103537,-27.99666419
"tree_1044100",32.55672183,-7.281324318
"tree_4526882",31.3016846,-20.84962465
"tree_2442222",26.73844664,-15.42250564
"tree_3531393",23.3647078,-15.88757514
"tree_3058817",24.91009203,-12.11527463
"tree_2087997",29.09749465,-10.07993073
"tree_243255",27.26298381,-25.76470921
"tree_3493952",28.14978279,-14.02170801
"tree_3043450",26.18765053,-12.11491404
"tree_5021393",29.30563657,-22.12592548
"tree_2070366",30.54705298,-12.33766782
"tree_115648",31.76968431,-28.88921181
"tree_1926908",31.66111473,-1.123007226
"tree_4208826",30.4763922,-18.13673426
"tree_3020871",27.99301774,-15.89442633
"tree_3859226",28.22397349,-14.37310186
"tree_1800799",30.31747873,-4.492079227
"tree_3630031",29.04656178,-13.89712455
"tree_477159",36.35297807,-3.300152703
"tree_2309509",26.67318046,-13.80941131
"tree_2774393",25.03160974,-13.82590825
"tree_3785743",24.99537078,-11.47919585
"tree_3752187",24.79109844,-13.80228968
"tree_509586",35.51100824,-11.2651102
"tree_4871883",33.87369096,-11.99817164
"tree_108396",29.09656627,-30.95187031
"tree_4728215",35.38238497,-14.29133659
"tree_4924343",34.76271703,-15.89974326
"tree_3229693",27.70986707,-12.60441344
"tree_4455859",29.80263628,-20.9031721
"tree_100147",29.6709806,-31.44551648
"tree_4092134",29.00518447,-14.07597663
"tree_4668052",33.73161987,-10.4551217
"tree_4986022",34.15810358,-10.8165219
"tree_974297",38.30330111,-5.435109281
"tree_2046900",23.7659506,-13.12618554
"tree_4756745",34.16216017,-12.60513286
"tree_1634029",31.76063665,-1.119221043
"tree_60711",30.46336949,-25.66437535
"tree_2879697",26.83661636,-15.22075616
"tree_3255519",30.950279,-12.80571218
"tree_2210423",26.75521392,-15.1969573
"tree_1921408",37.03250361,-9.334877958
"tree_2043487",30.81316593,-12.93588476
"tree_4973594",35.13637481,-14.90983665
"tree_2097144",29.78423192,-9.291413005
"tree_272382",30.41946808,-26.03118439
"tree_395785",39.47827271,-9.810855272
"tree_2868485",23.90585822,-13.49786252
"tree_2564447",28.51289354,-13.6020727
"tree_3854892",31.4081339,-10.02575225
"tree_3862741",24.82814872,-14.72783117
"tree_3548511",30.00518139,-13.58386297
"tree_4439318",30.12427946,-17.59503962
"tree_1357873",37.05756438,-10.53636009
"tree_195414",29.16850329,-25.21210676
"tree_1883846",37.06757066,-9.152419988
"tree_4674301",34.15575976,-12.75558857
"tree_655463",33.30575044,-6.254908087
"tree_4380849",30.53453678,-17.57827224
"tree_4351347",29.20622617,-21.90119196
"tree_3784830",30.74420373,-14.4512595
"tree_2351965",26.57266693,-15.60640596
"tree_2530721",25.17323014,-16.99701696
"tree_4588111",31.21270988,-18.71520896
"tree_2227460",31.1907903,-13.00890401
"tree_4287814",30.76314863,-16.6509278
"tree_439541",31.44917993,-4.23173406
"tree_3327110",28.22893156,-12.95445509
"tree_413708",31.17666657,-3.960300785
"tree_3484509",31.57607713,-10.97148672
"tree_189405",30.41811588,-26.0308238
"tree_4029024",29.16645685,-8.973373618
"tree_4504422",28.59025424,-20.24068019
"tree_1879660",31.19289297,-4.428435291
